ID,Method / entry,Type,Family / category,Required inputs,Intended prediction setting,Executed task(s) / benchmark use,Status,Reason for inclusion or exclusion,Main-text role
S2-11,scPreGAN,Not-run surveyed method,Latent / compositional,GAN latent,Stimulation transfer,Not run,Not run,No maintained immune implementation; family represented,"Surveyed, not executed"
S2-12,CPA,Published conditioned predictor,Latent / compositional,Latent + covariate composition,Compositional transfer,"Executed, T1–T5","Native: T1, T2, T4, T5; Adapted: T3","Native task interfaces are used on T1, T2, T4 and T5; the T3 unseen-gene cell uses the author-written embedding-to-latent-shift interface disclosed in Table S15.",Conditioned predictor (Table 2)
S2-13,chemCPA,Published conditioned predictor,Latent / compositional (chemistry-aware),Latent + Morgan drug structure,Unseen-compound effect,"Executed, T5",Native: T5,Chemistry-aware unseen-compound model,Conditioned predictor (Table 2)
S2-14,scVIDR,Not-run surveyed method,Latent / compositional,VAE dose-response,Dose transfer,Not run,Not run,Family represented by scGen/CPA,"Surveyed, not executed"
S2-15,Biolord,Published conditioned predictor,Latent / compositional,Disentangled latent,Compositional transfer,"Executed, T1",Native: T1,Executed on T1 through the disclosed author-written categorical-stimulus interface; the held cell type is carried by the residual state.,Conditioned predictor (Table 2)
S2-16,GEARS,Published conditioned predictor,Prior-graph,GO / co-expression graph + KO labels,Unseen-gene effect,"Executed, T3–T4","Native: T3, T4",Published unseen-gene graph task where inputs are defined,Conditioned predictor (Table 2)
S2-17,AttentionPert,Published conditioned predictor,Prior-graph,Gene graph + attention,Unseen-gene effect,"Executed, T3–T4","Native: T3, T4",Published unseen-gene task where inputs are defined,Conditioned predictor (Table 2)
S2-18,TxPert,Not-run surveyed method,Prior-graph,Network + perturbation,Unseen-gene effect,Not run,Not run,Graph family represented by GEARS/AttentionPert,"Surveyed, not executed"
S2-19,CellOT,Published conditioned predictor,Optimal transport,Control + perturbed populations,Distributional transfer,"Executed, T1–T2, T4","Native: T1, T2, T4","Native conditioned OT execution on T1 cell context, T2 donor transfer and T4 RNA modality.",Conditioned predictor (Table 2)
S2-20,scPRAM,Published conditioned predictor,Optimal transport,Control + perturbed + attention,Distributional transfer,"Executed, T2, T4",Native: T2; Adapted: T4,Native paired-stimulation execution on T2 donor transfer; T4 uses the disclosed author-written pseudo-paired task interface.,Conditioned predictor (Table 2)
S2-21,CINEMA-OT,Distributional comparator,Optimal transport (causal),Control + treated populations,Distributional matching,"Executed, T3, T5","Diagnostic: T3, T5",Perturbation-agnostic reference; never counted as a conditioned win,Distributional comparator
S2-22,STATE,Published conditioned predictor,Hybrid,Representation + transition operator,Cell-context + compound transfer,"Executed, T2–T5","Native: T2, T3, T4, T5 cell-context; Adapted: T5 unseen-compound","Native task interfaces are used on T2, T3, T4 and T5 cell-context; T5 unseen-compound uses the disclosed author-written Morgan-fingerprint interface.",Conditioned predictor (Table 2)
S2-23,PertAdapt,Published conditioned predictor,Hybrid,Representation + adaptation operator,Unseen-gene effect,"Executed, T2–T3","Native: T2, T3",Native frozen-backbone/adaptation-head execution on the T3 unseen-gene task; the backbone remains frozen as disclosed in Table S15.,Conditioned predictor (Table 2)
S2-24,Stack,Not-run surveyed method,Hybrid,Stacked representations,Compositional transfer,Not run,Not run,Hybrid family represented by STATE/PertAdapt,"Surveyed, not executed"
S2-25,FP-ridge,Deterministic task-specific predictor,Chemistry-aware deterministic,Morgan fingerprints,Unseen-compound effect,"Executed, T5",Diagnostic: T5,Tests whether chemical features alone explain compound response on OP3,Task-specific deterministic predictor (Table 2)
S2-26,linear-shift-KOemb,Deterministic task-specific predictor,Deterministic shift,Knockout-embedding metadata,Modality (RNA-to-surface),"Executed, T4",Diagnostic: T4,Tests whether KO metadata explains surface recovery in the Frangieh stress test,Task-specific deterministic predictor (Table 2)
S2-27,cell-mean shift,Universal floor baseline,Baseline,Training-fold cell means,Average perturbation effect,Computed on every task,Floor,Floor member; a conditioned model must beat it to count,Universal floor
S2-28,linear-PCA shift,Universal floor baseline,Baseline,Training-fold PCA basis,Low-rank perturbation effect,Computed on every task,Floor,Floor member; a conditioned model must beat it to count,Universal floor
S2-29,control-as-prediction,Context baseline,Baseline,Unperturbed control profile,Reference,Computed where applicable,Context,Interpretation reference; not a floor member,Context baseline
S2-30,donor shift,Context baseline,Baseline,Per-donor mean shift,Reference,Computed where applicable,Context,Interpretation reference; not a floor member,Context baseline
S2-31,training-mean shift,Context baseline,Baseline,Pooled training-set mean,Reference,Computed where applicable,Context,Interpretation reference; not a floor member,Context baseline
